_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room:confidence,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room:confidence_summary,which_of_these_furniture_types_are_depicted_in_the_image,which_of_these_furniture_types_are_depicted_in_the_image:confidence,which_of_these_furniture_types_are_depicted_in_the_image:confidence_summary,which_of_these_items_are_a_main_focus_in_the_image,which_of_these_items_are_a_main_focus_in_the_image:confidence,which_of_these_items_are_a_main_focus_in_the_image:confidence_summary,which_of_these_items_are_featured_prominently_in_the_image,which_of_these_items_are_featured_prominently_in_the_image:confidence,which_of_these_items_are_featured_prominently_in_the_image:confidence_summary,which_of_these_rooms_is_depicted_in_the_image,which_of_these_rooms_is_depicted_in_the_image:confidence,which_of_these_rooms_is_depicted_in_the_image:confidence_summary,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,are_there_people_in_the_image,are_there_people_in_the_image_gold,are_there_people_in_the_image_gold_reason,are_there_people_in_the_imageconfidence,are_there_people_in_the_imageconfidence_summary,batch_num,can_you_clearly_see_the_persons__peoples_faces,can_you_clearly_see_the_persons__peoples_faces_gold,can_you_clearly_see_the_persons__peoples_faces_gold_reason,can_you_clearly_see_the_persons__peoples_facesconfidence,can_you_clearly_see_the_persons__peoples_facesconfidence_summary,cant_access,cant_access_gold,cant_accessconfidence,code,image_url,nil,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,orig_was_the_image_taken_in_a_photo_studio,orig_what_color_is_the_background,_indoor_location,_indoor_location_gold,_indoor_location_gold_reason,system_identifier,was_the_image_taken_in_a_photo_studio,was_the_image_taken_in_a_photo_studio_gold,was_the_image_taken_in_a_photo_studioconfidence,was_the_image_taken_in_a_photo_studioconfidence_summary,was_the_image_taken_indoors_or_outdoors,was_the_image_taken_indoors_or_outdoors_gold,was_the_image_taken_indoors_or_outdoorsconfidence,was_the_image_taken_indoors_or_outdoorsconfidence_summary,what_color_is_the_background,what_color_is_the_background_gold,what_color_is_the_backgroundconfidence,what_color_is_the_backgroundconfidence_summary,what_does_the_image_focus_on,what_does_the_image_focus_on_gold,what_does_the_image_focus_onconfidence,what_season_does_it_appear_to_be_in_the_image,what_season_does_it_appear_to_be_in_the_image_gold,what_season_does_it_appear_to_be_in_the_imageconfidence,what_season_does_it_appear_to_be_in_the_imageconfidence_summary,what_time_of_day_is_it_in_the_image,what_time_of_day_is_it_in_the_image_gold,what_time_of_day_is_it_in_the_imageconfidence,what_time_of_day_is_it_in_the_imageconfidence_summary,what_type_of_setting_does_the_image_take_place_in,what_type_of_setting_does_the_image_take_place_in_gold,what_type_of_setting_does_the_image_take_place_in_gold_reason,what_type_of_setting_does_the_image_take_place_inconfidence,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room_gold,which_of_these_furniture_types_are_depicted_in_the_image_gold,which_of_these_items_are_a_main_focus_in_the_image_gold,which_of_these_items_are_featured_prominently_in_the_image_gold,which_of_these_rooms_is_depicted_in_the_image_gold,Keywords
1192030628,FALSE,finalized,3,3/28/17 20:01,white,1,"""blue"": 0.347
""white"": 1.0
",shelving,0.6531,"""shelving"": 0.653
",furniture,0.6531,"""appliances"": 0.347
""furniture"": 0.653
",,,,bathroom,1,"""bathroom"": 1.0
",FALSE,3/22/17 16:27,3,1178725113,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/3/c/7/a/TRU1134026.jpg,,FALSE,3/10/17 23:03,3,1177857189,finalized,,,,,,TRU1134026,,,,,,,,,,,,,interiors,,0.7042,,,,,,,,,,,,,,,,,,white|shelving|furniture||bathroom|||interiors|
1192030630,FALSE,finalized,3,3/28/17 19:46,blue,1,"""blue"": 1.0
",,,,walls,0.6913,"""walls"": 0.691
""decor"": 0.309
",,0,,living_room,0.6913,"""living_room"": 0.691
""bedroom"": 0.309
",FALSE,3/22/17 16:23,3,1178725129,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/5/0/8/TRU1388645.jpg,,FALSE,3/10/17 23:01,3,1177857478,finalized,,,,,,TRU1388645,,,,,,,,,,,,,interiors,,0.6849,,,,,,,,,,,,,,,,,,blue||walls||living_room|||interiors|
1192030631,FALSE,finalized,3,3/28/17 20:05,gray,0.6693,"""black"": 0.331
""white"": 0.331
""gray"": 0.669
",chair,1,"""chair"": 1.0
""table"": 0.324
",furniture,1,"""furniture"": 1.0
""walls"": 0.345
",,,,,1,""""": 1.0
",FALSE,3/22/17 17:03,3,1178725136,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/2/0/b/9/TRU1398766.jpg,,FALSE,3/10/17 22:57,3,1177858116,finalized,,,,,,TRU1398766,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,gray|chair|furniture|||||interiors|
1192030632,FALSE,finalized,3,3/28/17 19:52,white,0.6694,"""black"": 0.669
""white"": 0.669
""yellow"": 0.347
"""": 0.331
",couch,0.3471,"""couch"": 0.347
",furniture,0.3471,"""furniture"": 0.347
"""": 0.331
"""": 0.322
",,,,living_room,0.3471,"""living_room"": 0.347
"""": 0.331
"""": 0.322
",FALSE,3/22/17 16:39,3,1178725139,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/6/d/6/TRU1398769.jpg,,FALSE,3/10/17 22:55,3,1177858119,finalized,,,,,,TRU1398769,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|couch|furniture||living_room|||interiors|
1192030633,FALSE,finalized,3,3/28/17 20:24,white,0.7165,""""": 0.283
""white"": 0.717
""black"": 0.363
",couch,0.7165,"""couch"": 0.717
",furniture,0.7165,""""": 0.283
""furniture"": 0.717
""floor"": 0.363
""walls"": 0.363
",,,,,0.6461,""""": 0.646
""living_room"": 0.354
",FALSE,3/22/17 16:29,3,1178725181,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/0/1/6/TRU1402306.jpg,,FALSE,3/10/17 22:52,3,1177858466,finalized,,,,,,TRU1402306,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|couch|furniture|||||interiors|
